IMEI,VIN,license_plate,source,device_model,gps_odometer,latitude,longitude,gps_speed,gps_timestamp,last_header_gps,can_odometer,can_horometer,can_odoliter,can_speed,can_timestamp,last_header_can,has_gps_data,has_can_data,last_update_utc
863457051717096,VF3YD3MAU N2S75366,RDCC60,COPILOTO,GV300W,101083,-33.448475,-70.784342,0,2026-03-23T08:51:32Z,FRI,,,,,0001-01-01T00:00:00Z,,true,true,2026-03-23T08:51:32Z
867162029142601,W1T963425P0576609,576609,COPILOTO,GV300W,292396,-39.621844,-72.348558,0,2026-03-23T09:12:42Z,DAT,641,,176.800000,19,2026-03-23T08:12:42Z,KA,true,true,2026-03-23T09:12:42Z
869671070575814,MEC2047R2SP160064,P160064,COPILOTO,GV300W,15529,-31.891691,-70.750984,0,2026-03-23T09:46:28Z,FRI,15529,279.970000,1.270000,0,2026-03-20T12:12:26Z,G9,true,true,2026-03-23T09:46:28Z
863457050629896,W1NFD2BB5NA737620,SFDG68,WICAR,GV300W,43106,-33.324900,-70.638765,0,2026-03-23T09:12:10Z,FRI,,,,,0001-01-01T00:00:00Z,,true,true,2026-03-23T09:12:10Z
863457050270469,,,,GV300W,43240,-33.253935,-70.632597,0,2026-03-23T09:11:13Z,FRI,,,,,,,true,true,2026-03-23T09:11:13Z
863457051753752,W1T963025R0667593,667593,COPILOTO,GV300W,244027,-18.465120,-70.292933,0,2026-02-23T16:33:10Z,BPL,253879,3929.400000,124662.010000,1,2026-02-23T14:28:07Z,KA,true,true,2026-02-23T16:33:10Z
866314061232052,JL5ASJ6AXSRK30773,RK30773,COPILOTO,GV58LAU,43980,-34.985796,-71.245489,0,2026-03-23T09:22:23Z,FRI,,,,,0001-01-01T00:00:00Z,,true,true,2026-03-23T09:22:23Z
863457050126638,,,,GV300W,47239,-36.788580,-73.058494,0,2026-03-23T09:27:19Z,FRI,,,,,,,true,true,2026-03-23T09:27:19Z
863457051693792,W1N4N8HB2RJ544801,03-38035,COPILOTO,GV300W,20704,-33.338855,-70.501128,0,2026-03-23T09:01:21Z,FRI,,,,,0001-01-01T00:00:00Z,,true,true,2026-03-23T09:01:21Z
863457051683462,,,,GV300W,49807,-33.454666,-70.529022,47,2026-03-23T09:50:50Z,FRI,,,,,,,true,true,2026-03-23T09:50:50Z
863457050291291,W1N0J1FB7LF765910,PKFV58,COPILOTO,GV300W,88008,-35.444722,-71.604336,0,2026-03-23T09:19:02Z,FRI,,,,,0001-01-01T00:00:00Z,,true,true,2026-03-23T09:19:02Z
SY007CET752K8,,,MACHINELINK,Small mining 4.0 protocol,,-22.436453,-68.906110,,,,,,,,,,true,true,2026-03-17T20:22:46Z
868589060186874,W1T963403RB341878,341878,COPILOTO,GV300W,120044,-37.042301,-72.375282,0,2026-03-21T00:26:33Z,BPL,125421,2557.100000,39496.200000,0,2026-03-20T21:56:17Z,B-ELECTRONICS,true,true,2026-03-21T00:26:33Z
866314060217856,,,,GV58LAU,9973,-33.565636,-70.827853,0,2026-03-23T09:30:07Z,FRI,,,,,,,true,true,2026-03-23T09:30:07Z
G9N08Y2FZ95Z,3AKJHPDVXSSVZ8947,TEU-806,DIVEMOTOR,INTEGRATION,,-6.753705,-79.867165,0,2026-03-18T21:57:46Z,DAT,42216,1258.300000,17576.000000,0,2026-03-18T21:57:46Z,DA,true,true,2026-03-18T21:57:46Z
866314061269997,8AC907645SE250487,250487,COPILOTO,GV58LAU,70775,-22.940965,-68.188705,0,2026-03-23T09:45:27Z,FRI,,,,,0001-01-01T00:00:00Z,,true,true,2026-03-23T09:45:27Z
863238070321908,9BM634016TB405887,B405887,COPILOTO,GV300W,8979,-23.586688,-70.391189,0,2026-03-11T20:32:39Z,DAT,8979,108.380000,2316.150000,0,2026-03-11T20:32:18Z,G9,true,true,2026-03-11T20:32:39Z
867162027847755,9BM979076NB202465,PZBP38,COPILOTO,GV300W,33607,-33.258878,-70.752017,0,2026-03-18T16:45:13Z,FRI,24615,2091.100000,6741.980000,0,2025-08-28T13:38:06Z,B-ELECTRONICS,true,true,2026-03-18T16:45:13Z
863457051061131,W1T963424R0667545,667545,COPILOTO,GV300W,222956,-22.676310,-70.192115,0,2026-03-23T09:29:17Z,FRI,229493,5513.850000,102418.910000,0,2026-03-23T07:29:17Z,KA,true,true,2026-03-23T09:29:17Z
866314061271944,W1K3F8HB1RN327447,TSJR62,WICAR,GV58LAU,11961,-36.791486,-73.059463,0,2026-03-23T09:19:20Z,FRI,,,,,0001-01-01T00:00:00Z,,true,true,2026-03-23T09:19:20Z
866314060268008,8AC907643SE250028,TYDY10,COPILOTO,GV58LAU,57646,-33.500251,-70.642602,0,2026-03-23T08:55:34Z,FRI,,,,,0001-01-01T00:00:00Z,,true,true,2026-03-23T08:55:34Z
863457051170759,JL6AFE6A9PK001900,001900,COPILOTO,GV300W,87288,-33.488131,-70.709027,0,2026-03-23T08:58:15Z,FRI,,,,,0001-01-01T00:00:00Z,,true,true,2026-03-23T08:58:15Z
864002070846499,WDCTG4GB1KJ546918,KZZC81,WICAR,GV58LAU,115603,-33.426133,-70.594236,7,2026-03-21T03:21:17Z,FRI,,,,,0001-01-01T00:00:00Z,,true,true,2026-03-21T03:21:17Z
869671072169087,,,,,2176,-23.739702,-70.299873,0,2026-03-22T16:28:39Z,FRI,2176,42.350000,742.640000,0,2026-03-22T16:28:21Z,DB,true,true,2026-03-22T16:28:39Z
869671070585706,9BM951104RB342438,B342438,COPILOTO,GV300W,35079,-33.524982,-70.748039,0,2026-03-23T09:50:39Z,FRI,35078,543.640000,0.000000,0,2026-03-23T09:50:02Z,DB,true,true,2026-03-23T09:50:39Z
866314062243504,W1NKM0FB3SF381518,VKPG55,WICAR,GV58LAU,3533,-33.411306,-70.535656,0,2026-03-23T09:10:52Z,FRI,,,,,0001-01-01T00:00:00Z,,true,true,2026-03-23T09:10:52Z
SY013CFQ678K8,,,MACHINELINK,Small mining 4.0 protocol,,-36.632554,-72.192483,,,,,,,,,,true,true,2026-02-27T13:32:19Z
866314061178891,LSFAM11A1TA043226,043226,WICAR,GV58LAU,24,-33.551883,-70.732495,6,2026-01-27T11:34:39Z,FRI,,,,,0001-01-01T00:00:00Z,,true,true,2026-01-27T11:34:39Z
867162027843036,JM7DK4W7AH0123242,JKLF98,COPILOTO,GV300W,86410,-33.471638,-70.691508,0,2026-03-23T09:09:45Z,FRI,,,,,0001-01-01T00:00:00Z,,true,true,2026-03-23T09:09:45Z
864002070857082,W1N4N8HB2TJ842353,842353,WICAR,GV58LAU,1684,-33.441387,-70.584713,0,2026-03-23T09:44:53Z,FRI,,,,,0001-01-01T00:00:00Z,,true,true,2026-03-23T09:44:53Z
863457050967759,9BM958257NB226873,RGJF39,COPILOTO,GV300W,193291,-34.987695,-71.250947,0,2026-03-21T01:34:40Z,BPL,,,,,0001-01-01T00:00:00Z,,true,true,2026-03-21T01:34:40Z
869671072171224,W1T963403T0853939,853939,COPILOTO,GV300W,744,-33.296386,-70.748680,0,2026-03-23T09:46:24Z,FRI,744,16.550000,155.500000,1,2026-03-20T20:24:07Z,G9,true,true,2026-03-23T09:46:24Z
863457051692539,W1KAF4CB7PF115523,115523,COPILOTO,GV300W,12007,-32.828344,-70.654974,0,2026-03-17T11:51:17Z,BPL,,,,,0001-01-01T00:00:00Z,,true,true,2026-03-17T11:51:17Z
G94EFC2M3MMC,W1FKHLAD0T0812847,W1FKHLAD0T0812847,DIVEMOTOR,INTEGRATION,,-6.732424,-78.699692,8,2026-03-18T16:09:48Z,DAT,25810,1963.500000,19284.000000,8,2026-03-18T16:09:48Z,DA,true,true,2026-03-18T16:09:48Z
866314061340814,W1KMJ4HB8SF059623,VJWG57,WICAR,GV58LAU,9074,-33.229159,-70.642213,0,2026-03-23T09:13:32Z,FRI,,,,,0001-01-01T00:00:00Z,,true,true,2026-03-23T09:13:32Z
863457051662243,W1T964230P0636466,TBKR63,COPILOTO,GV300W,29390,-23.791918,-70.317640,0,2026-03-23T09:13:37Z,DAT,30934,2243.250000,22653.210000,0,2026-03-20T17:52:52Z,KA,true,true,2026-03-23T09:13:37Z
863457050974557,LSFAM11A4PA053562,053562,WICAR,GV300W,114908,-34.278717,-71.029397,0,2026-03-23T00:14:30Z,FRI,,,,,0001-01-01T00:00:00Z,,true,true,2026-03-23T00:14:30Z
863457051068268,,,,GV300W,12402,-39.808143,-73.269684,14,2026-03-22T16:46:55Z,FRI,,,,,,,true,true,2026-03-22T16:46:55Z
869671070581192,1FVHG3DV3RHVJ8385,VHFC39,COPILOTO,GV300W,9444,-33.780437,-70.172866,15,2026-02-20T21:16:26Z,DAT,9444,576.000000,8287.000000,14,2026-02-20T21:16:21Z,DB,true,true,2026-02-20T21:16:26Z
864002070801346,,,,GV300W,3468,-33.297441,-70.753799,0,2026-03-23T09:41:57Z,FRI,,,,,,,true,true,2026-03-23T09:41:57Z
863457050267275,W1T963425P0586319,586319,COPILOTO,GV300W,190428,-39.698123,-73.109956,0,2026-03-23T09:38:33Z,FRI,,,,,0001-01-01T00:00:00Z,,true,true,2026-03-23T09:38:33Z
867162029764578,,,,GV300W,97269,-33.399684,-70.594052,0,2026-03-23T09:33:47Z,FRI,,,,,,,true,true,2026-03-23T09:33:47Z
863457051752945,9BM958154RB325668,325668,COPILOTO,GV300W,88779,-33.374515,-70.696466,19,2026-03-23T09:50:42Z,FRI,91650,6396.270000,27232.470000,0,2026-03-23T09:49:27Z,DA,true,true,2026-03-23T09:50:42Z
863457051717120,,,,GV300W,42661,-33.704926,-71.010024,0,2026-03-23T09:15:48Z,FRI,,,,,,,true,true,2026-03-23T09:15:48Z
863457051067435,LSFAM11A0NA094672,STKG50,COPILOTO,GV300W,22473,-20.244730,-70.130234,0,2026-03-23T09:17:05Z,FRI,,,,,0001-01-01T00:00:00Z,,true,true,2026-03-23T09:17:05Z
863457050131950,,,,GV300W,69607,-23.563379,-70.398033,0,2026-03-23T09:12:32Z,FRI,,,,,,,true,true,2026-03-23T09:12:32Z
SY021NCDS0308,,,MACHINELINK,Medium Excavator 4.0 Protocol,,-36.485535,-72.206400,,,,,,,,,,true,true,2026-03-19T07:10:56Z
867162027846435,3AKJHPDV6NSNJ2943,C-1933,COPILOTO,GV300W,604256,-23.421569,-69.499495,0,2026-03-23T09:33:29Z,DAT,612426,12139.750000,235757.000000,0,2026-03-23T09:32:47Z,G9,true,true,2026-03-23T09:33:29Z
SY021NCDS0318,,,MACHINELINK,Medium Excavator 4.0 Protocol,,-36.752232,-73.079468,,,,,,,,,,true,true,2026-03-18T11:48:59Z
863457050592201,9BM958257PB287534,287534,COPILOTO,GV300W,224960,-40.575763,-73.098414,0,2026-03-23T09:47:03Z,FRI,,,,,0001-01-01T00:00:00Z,,true,true,2026-03-23T09:47:03Z
869671070592363,,,,,13359,-33.609794,-70.568328,0,2026-03-23T09:50:37Z,DAT,13359,445.000000,3803.060000,0,2026-03-23T09:50:35Z,DB,true,true,2026-03-23T09:50:37Z
867162029785631,,,,GV300W,45275,-33.468611,-70.524498,0,2026-03-23T09:21:09Z,FRI,,,,,,,true,true,2026-03-23T09:21:09Z
863457050604691,,,,GV300W,17066,-33.337970,-70.509450,0,2026-03-23T09:36:57Z,FRI,,,,,,,true,true,2026-03-23T09:36:57Z
