IMEI,installation_date,uninstallation_date,VIN,license_plate,source,device_model,gps_odometer,latitude,longitude,gps_speed,gps_timestamp,last_header_gps,can_odometer,can_horometer,can_odoliter,can_speed,can_timestamp,last_header_can,has_gps_data,has_can_data,last_update_utc
863457052203690,2024-03-21T20:15:10Z,,W1T964231R0714583,TVPG48,COPILOTO,GV300W,53948,-29.242879,-71.080413,0,2026-05-12T14:23:47Z,INF,47117,3276.850000,38579.260000,4,2026-03-24T17:25:10Z,FE,true,true,2026-05-23T08:19:09Z
863457050275567,2023-02-28T13:05:55Z,,9BM958441PB285671,285671,COPILOTO,GV300W,254080,-34.607268,-70.961116,0,2026-05-23T10:12:31Z,HBD,258223,4561.550000,81977.570000,0,2026-05-23T10:01:43Z,G9,true,true,2026-05-23T10:17:09Z
867162025804477,2019-07-31T04:00:00Z,,3AKJGHDV6KSKK6756,LGZT33,COPILOTO,GV300W,354690,-23.765090,-70.304640,0,2026-03-29T15:15:13Z,INF,,,,,,,true,false,2026-03-30T17:59:13Z
863457050216066,,,W1N4N8HB0NJ345272,RPVV10,WICAR,GV300W,67796,-35.431476,-71.555665,0,2026-05-23T08:32:01Z,HBD,,,,,,,true,false,2026-05-23T10:14:55Z
869671070580632,2025-03-26T18:17:12Z,,3AKJHPDV8RSUX3794,SUX3794,COPILOTO,GV300W,0,-22.435092,-68.904441,0,2026-05-23T10:16:11Z,FRI,88374,1432.350000,34636.000000,0,2026-04-01T19:52:02Z,G9,true,true,2026-05-23T10:16:11Z
867162029766664,,,W1KWF8DB5MR637766,RTFJ91,WICAR,GV300W,60917,-33.217243,-70.665025,0,2026-05-23T07:53:10Z,HBD,,,,,,,true,false,2026-05-23T10:18:36Z
868589060163980,2024-05-14T01:19:09Z,,WJMS52NU2PC479819,479819,COPILOTO,GV300W,246590,-34.715711,-71.049348,0,2026-05-23T10:08:42Z,HBD,250770,4782.600000,100951.500000,0,2026-05-23T08:11:39Z,KA,true,true,2026-05-23T10:16:38Z
869671070590607,2025-03-24T17:32:38Z,,W1T963424SB390740,B390740,COPILOTO,GV300W,68695,-22.438524,-68.894317,0,2026-05-23T10:15:34Z,FRI,68695,1837.900000,24412.800000,0,2026-05-23T07:39:46Z,G9,true,true,2026-05-23T10:15:34Z
G91D32ET6Z12,,,9BM951104SB391656,9BM951104SB391656,DIVEMOTOR,INTEGRATION,,-12.041674,-76.940041,0,2026-05-22T21:01:49Z,DAT,43620,1510.600000,7934.000000,0,2026-05-22T21:01:49Z,DB,true,true,2026-05-22T21:01:49Z
869671070577273,2024-11-18T15:47:02Z,,JL6CJH6A6SK002309,K002309,COPILOTO,GV300W,0,-27.475177,-70.264945,0,2026-05-23T06:28:48Z,FRI,16028,2307.400000,5166.500000,0,2026-04-28T21:28:06Z,**,true,true,2026-05-23T06:28:48Z
