IMEI,VIN,license_plate,source,device_model,gps_odometer,latitude,longitude,gps_speed,gps_timestamp,last_header_gps,can_odometer,can_horometer,can_odoliter,can_speed,can_timestamp,last_header_can,has_gps_data,has_can_data,last_update_utc
863457050150513,,,,GV300W,39806,-33.425890,-70.647736,18,2026-01-15T19:28:33Z,FRI,,,,,,,true,true,2026-01-15T19:28:33Z
863238070321460,W1T964231T0831044,0831044,COPILOTO,GV300W,764,-33.297916,-70.751136,0,2025-12-09T13:58:12Z,DAT,764,19.850000,239.750000,0,2025-12-09T13:57:20Z,G3,true,true,2025-12-09T13:58:12Z
866314060272653,W1V907657RP624081,624081,WICAR,GV58LAU,95805,-33.462227,-70.716386,0,2026-01-12T20:09:03Z,FRI,,,,,0001-01-01T00:00:00Z,,true,true,2026-01-12T20:09:03Z
863457051689592,W1T963425PB285010,285010,COPILOTO,GV300W,94806,-21.374959,-69.503061,87,2026-01-15T19:25:49Z,FRI,97523,2168.350000,31441.000000,71,2026-01-15T18:53:16Z,DA,true,true,2026-01-15T19:25:49Z
863457050140910,,,,GV300W,39830,-33.364382,-70.581448,19,2026-01-15T18:04:50Z,FRI,,,,,,,true,true,2026-01-15T18:04:50Z
863457051695839,W1KAF4BB2NR006285,SRDJ75,COPILOTO,GV300W,23284,-32.771950,-70.720696,0,2026-01-15T00:04:17Z,BPL,,,,,0001-01-01T00:00:00Z,,true,true,2026-01-15T00:04:17Z
863457050154374,,,,GV300W,44321,-33.340227,-70.497039,0,2026-01-15T19:28:58Z,FRI,,,,,,,true,true,2026-01-15T19:28:58Z
863457051063996,W1T964231P0646940,646940,COPILOTO,GV300W,106629,-35.566625,-71.700096,0,2026-01-15T19:48:48Z,FRI,100875,,67060.330000,0,2025-03-25T17:30:57Z,B-ELECTRONICS,true,true,2026-01-15T19:48:48Z
867162029775822,WDC0G5EB0JF410440,KRVH98,WICAR,GV300W,55412,-33.377295,-70.496036,0,2026-01-12T18:06:44Z,FRI,,,,,0001-01-01T00:00:00Z,,true,true,2026-01-12T18:06:44Z
866314060316062,,,,GV58LAU,44225,-33.282995,-70.716050,3,2026-01-15T19:37:17Z,FRI,,,,,,,true,true,2026-01-15T19:37:17Z
863457052180633,3AKJF0A84CDBN1003,DRCX60,COPILOTO,GV300W,1193616,-36.741896,-73.118932,0,2026-01-15T19:41:10Z,FRI,1194136,22096.100000,432037.250000,0,2026-01-15T18:41:05Z,G9,true,true,2026-01-15T19:41:10Z
